Satellite,SVID,Slot,SMA_km,e,I_deg,RAAN_deg,AP_deg,MA_deg,dRAAN_deg_day,dAP_deg_day,dMA_deg_day
GSAT0101,E11,B05,29599.8,0,56,77.632,0,15.153,-0.02764398,0,613.72253566
GSAT0102,E12,B06,29599.8,0,56,77.632,0,60.153,-0.02764398,0,613.72253566
GSAT0103,E19,C04,29599.8,0,56,197.632,0,345.153,-0.02764398,0,613.72253566
GSAT0203,E26,B08,29599.8,0,56,77.632,0,150.153,-0.02764398,0,613.72253566
GSAT0205,E24,A08,29599.8,0,56,317.632,0,135.153,-0.02764398,0,613.72253566
GSAT0206,E30,A05,29599.8,0,56,317.632,0,0.153,-0.02764398,0,613.72253566
GSAT0208,E08,C07,29599.8,0,56,197.632,0,120.153,-0.02764398,0,613.72253566
GSAT0209,E09,C02,29599.8,0,56,197.632,0,255.153,-0.02764398,0,613.72253566
GSAT0210,E01,A02,29599.8,0,56,317.632,0,225.153,-0.02764398,0,613.72253566
GSAT0211,E02,A06,29599.8,0,56,317.632,0,45.153,-0.02764398,0,613.72253566
GSAT0207,E07,C06,29599.8,0,56,197.632,0,75.153,-0.02764398,0,613.72253566
GSAT0212,E03,C08,29599.8,0,56,197.632,0,165.153,-0.02764398,0,613.72253566
GSAT0213,E04,C03,29599.8,0,56,197.632,0,300.153,-0.02764398,0,613.72253566
GSAT0214,E05,C01,29599.8,0,56,197.632,0,210.153,-0.02764398,0,613.72253566
GSAT0215,E21,A03,29599.8,0,56,317.632,0,270.153,-0.02764398,0,613.72253566
GSAT0216,E25,A07,29599.8,0,56,317.632,0,90.153,-0.02764398,0,613.72253566
GSAT0217,E27,A04,29599.8,0,56,317.632,0,315.153,-0.02764398,0,613.72253566
GSAT0218,E31,A01,29599.8,0,56,317.632,0,180.153,-0.02764398,0,613.72253566
GSAT0219,E36,B04,29599.8,0,56,77.632,0,330.153,-0.02764398,0,613.72253566
GSAT0220,E13,B01,29599.8,0,56,77.632,0,195.153,-0.02764398,0,613.72253566
GSAT0221,E15,B02,29599.8,0,56,77.632,0,240.153,-0.02764398,0,613.72253566
GSAT0222,E33,B07,29599.8,0,56,77.632,0,105.153,-0.02764398,0,613.72253566
GSAT0223,E34,B03,29599.8,0,56,77.632,0,285.153,-0.02764398,0,613.72253566
GSAT0201,E18,Ext01,27977.6,0.162,49.85,52.521,56.198,316.069,-0.039867092,0.034373586,667.909221051
GSAT0202,E14,Ext02,27977.6,0.162,49.85,52.521,56.198,136.069,-0.039867092,0.034373586,667.909221051
GSAT01041,E20,C14,29599.8,0,56,197.632,0,7.653,-0.02764398,0,613.72253566
GSAT0204,E22,B14,29599.8,0,56,77.632,0,352.653,-0.02764398,0,613.72253566
GSAT0224,E10,B15,29599.8,0,56,77.632,0,37.653,-0.02764398,0,613.72253566
